from,to,numIncidents,arrested,ward,arrestDate
M000054,M000117,3,FALSE,NA,NA
M000054,M000116,3,FALSE,NA,NA
M000117,M000116,3,FALSE,2,NA
M000179,M000735,2,FALSE,3,NA
M000332,M000333,2,FALSE,3,NA
M000332,M000334,2,FALSE,3,NA
M000333,M000334,2,FALSE,4,NA
M000146,M000147,2,FALSE,4,NA
M000879,M000880,1,FALSE,6,NA
M000879,M000881,1,FALSE,6,NA
M000880,M000881,2,FALSE,6,NA
M000049,M000412,4,FALSE,3,NA
M000049,M000411,4,FALSE,3,NA
M000412,M000411,2,FALSE,3,NA
M000117,M000118,3,FALSE,2,NA
M000117,M000119,3,FALSE,2,NA
M000118,M000119,1,FALSE,3,NA
M000120,M000121,2,FALSE,6,NA
M000045,M000353,3,FALSE,1,NA
M000400,M000401,3,TRUE,5,NA
M000400,M000402,3,TRUE,5,NA
M000401,M000402,1,FALSE,3,NA
M000273,M000274,1,FALSE,4,NA
M000298,M000299,2,FALSE,5,NA
M000104,M000300,4,FALSE,2,NA
M000104,M000299,4,FALSE,2,NA
M000300,M000299,4,FALSE,4,NA
M000031,M000296,2,FALSE,2,NA
M000031,M000297,2,FALSE,2,NA
M000296,M000297,1,FALSE,4,NA
M000315,M000348,2,FALSE,2,NA
M000315,M000349,2,FALSE,2,NA
M000348,M000349,2,FALSE,5,NA
M000650,M000801,2,FALSE,2,NA
M000813,M000814,1,FALSE,5,NA
M000813,M000815,1,FALSE,5,NA
M000814,M000815,1,FALSE,5,NA
M000304,M000335,2,FALSE,4,NA
M000304,M000334,2,FALSE,4,NA
M000335,M000334,5,FALSE,3,NA
M000090,M000209,2,FALSE,6,NA
M000201,M000202,1,FALSE,2,NA
M000153,M000025,2,FALSE,5,NA
M000153,M000350,2,FALSE,5,NA
M000025,M000350,3,FALSE,3,NA
M000833,M000834,1,FALSE,4,NA
M000160,M000161,1,FALSE,1,NA
M000141,M000142,2,FALSE,6,NA
M000468,M000382,2,FALSE,5,NA
M000468,M000591,2,FALSE,5,NA
M000382,M000591,2,FALSE,4,NA
M000736,M000737,1,FALSE,3,NA
M000138,M000139,1,FALSE,5,NA
M000354,M000355,1,FALSE,6,NA
M000023,M000166,4,FALSE,2,NA
M000023,M000167,4,FALSE,2,NA
M000166,M000167,2,FALSE,5,NA
M000557,M000558,1,FALSE,1,NA
M000557,M000559,1,FALSE,1,NA
M000558,M000559,2,FALSE,1,NA
M000182,M000183,1,FALSE,5,NA
M000182,M000184,1,FALSE,5,NA
M000183,M000184,2,FALSE,5,NA
M000162,M000163,1,FALSE,3,NA
M000236,M000030,3,FALSE,3,NA
M000236,M000405,3,FALSE,3,NA
M000236,M000404,3,FALSE,3,NA
M000030,M000405,3,FALSE,3,NA
M000030,M000404,3,FALSE,3,NA
M000405,M000404,2,FALSE,5,NA
M000240,M000241,1,FALSE,5,NA
M000460,M000461,1,FALSE,4,NA
M000270,M000271,1,FALSE,5,NA
M000663,M000664,1,FALSE,2,NA
M000060,M000164,2,FALSE,1,NA
M000060,M000165,2,FALSE,1,NA
M000164,M000165,2,FALSE,6,NA
M000198,M000522,5,FALSE,3,NA
M000198,M000523,5,FALSE,3,NA
M000522,M000523,2,FALSE,5,NA
M000231,M000232,1,FALSE,6,NA
M000844,M000845,1,FALSE,1,NA
M000874,M000875,1,FALSE,3,NA
